Citat,Url,Källa
"Vivus är ett mycket bra lånealternativ. Låneprocessen är enkel och snabb utan att för den skull det hanteras ""lättvindigt"",¨Detta innebär att vi som låntagare kan lita på företaget och företaget ger en öppen och säker information.",https://se.trustpilot.com/reviews/59fbade331302a07249d5cd6,Trustpilot
Så otroligt fint service ! Kundtjanst ringde upp mig och säga hur jag ska gå vidare mycket nöjd ! Tack,https://se.trustpilot.com/reviews/59479034555d1a0888c31826,Trustpilot
