Veckodag,Öppnar,Stänger
Måndag,8:30,17:00
Tisdag,8:30,17:00
Onsdag,8:30,17:00
Torsdag,8:30,17:00
Fredag,8:30,17:00
Lördag,10:00,16:00
Söndag,10:00,16:00
