Citat,Url,Källa
"Bra kundbemötande! Jag sökte ett lån hos dem och fick inte hela summan men det löste sig, till slut fick jag ett annat lån och jag är nojd med dem än så länge! Rekommendera stark Brixo!",https://se.trustpilot.com/reviews/5ad852886d33bc0aa4c042f7,Alejandro - Trustpilot
"Behövde tillfälligt påfyllning i kassan och beslöt att kontakta ett snabblåneföretag. Valet föll på Brixo och det har jag inte ångrat. Snabbt, enkelt och proffesionellt bemötande.",https://se.trustpilot.com/reviews/555b83a70000ff0002e6e0a4,Agne - Trustpilot
