Veckodag,Öppnar,Stänger
Måndag,8:00,17:00
Tisdag,8:00,17:00
Onsdag,8:00,17:00
Torsdag,8:00,17:00
Fredag,8:00,17:00
Lördag,9:00,18:00
Söndag,9:00,18:00
