Citat,Url,Källa
Snabb och bra service. Tacksam.,https://se.trustpilot.com/reviews/5b162e1b6d33bc01c814cd73,Trustpilot
Fick tips av kompis och tipsar här nu. Bra hemsida som gav det enkelt med info för att få mig ett lån och snabbt.,https://financer.com/sv/foretag/credway/#comment-757,Financer
