Veckodag,Öppnar,Stänger
Måndag,9:00,19:00
Tisdag,9:00,19:00
Onsdag,9:00,19:00
Torsdag,9:00,19:00
Fredag,9:00,19:00
Lördag,11:00,18:00
Söndag,11:00,18:00
